{ADD (1, 0, 14) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (2, 0, 14) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (3, 0, 14) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (2, 0, 13) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (2, 0, 12) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (1, 0, 12) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (3, 0, 12) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (4, 0, 15) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 15) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (2, 0, 15) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (1, 0, 15) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (0, 0, 15) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (0, 0, 14) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (0, 0, 13) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (1, 0, 13) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 14) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 13) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 12) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (2, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (1, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (0, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (0, 0, 12) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 13) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
